n,m,total_return,annualized_return,volatility,sharpe,max_drawdown
1,1,-0.3306343309618818,-0.024554422966122202,0.1706662006520508,-0.059849614085057574,0.6373788081994585
1,2,0.5882196433535076,0.029064812687747077,0.20349396295684496,0.24302357699767674,0.5362110356502563
1,3,6.032271175209709,0.12839733810481802,0.21750890538809114,0.664657408055156,0.34693857414183227
1,4,11.8864186095171,0.17152713639117767,0.22277092065557283,0.822626245098081,0.3398121695191745
1,5,12.467685768775638,0.17473256881933397,0.22604582046411403,0.826066924328411,0.3249630338581811
1,6,12.562413889879085,0.17524261461791468,0.22935129578336433,0.8194305043760022,0.33123603423410886
1,7,14.827522364185892,0.1865380134387804,0.23044910685932932,0.8581614517573957,0.3337432263052635
1,8,16.887217020271457,0.19556192760337843,0.23186666445052198,0.887043827084698,0.329862073545256
1,9,19.73151729296208,0.20653846874925996,0.23290897096801602,0.9233793353873075,0.3280373615988713
1,10,20.839266431700555,0.21043440711303396,0.23312809800395237,0.9365709102127925,0.3280373615988711
2,1,-0.3956366135934768,-0.030706217274922842,0.13401578746759116,-0.1651997501476348,0.7016410683013848
2,2,-0.2354307203502276,-0.016487668741206662,0.17465275779927716,-0.0073845739974963825,0.6047096402409491
2,3,0.6412831354966817,0.031161467214188443,0.19463392517659323,0.25546572094171865,0.4834407251061541
2,4,2.30657900784228,0.07687676683606148,0.20779275674922632,0.4608159513088077,0.32304514301794707
2,5,2.912154383801164,0.08815137791979155,0.21515293406140795,0.5007098689125157,0.3780050084273101
2,6,4.429728857468804,0.11046798877196662,0.22242798220938517,0.5828983621743871,0.3361124372344839
2,7,8.496871899567301,0.14959060592903706,0.22592008001965044,0.7306908442483062,0.3657057233338715
2,8,9.298106858085024,0.1553718057825646,0.22781486008099766,0.7485594919372679,0.36078067065981023
2,9,10.176354715354964,0.1612426804915139,0.22914259076146123,0.7676763488382338,0.34680123576546634
2,10,12.405605808258885,0.174396482322422,0.23000209619327372,0.8146658669950915,0.33571318601937167
3,1,-0.20473101046304032,-0.014086830069120593,0.09280699403885982,-0.10589573721282614,0.4606288086194231
3,2,-0.0555562848168234,-0.0035337060463459524,0.1378898485673009,0.043727753061704844,0.3983777406780926
3,3,0.48324202680677675,0.024715836177090944,0.16613753853713006,0.23039777119016172,0.4552961576744989
3,4,1.6801507171850094,0.06295925839698002,0.18548295335131953,0.42229537623139984,0.3803332187165243
3,5,2.6929261367054202,0.08427193044326065,0.19738064762841473,0.5089685639137269,0.46367177367286594
3,6,2.671631759355268,0.08388367033756428,0.21152368306918207,0.48708486125152395,0.4031201084767244
3,7,4.404790010257043,0.11015142989790117,0.21623654845231643,0.5919000468666512,0.38426824613549493
